,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
0,0,3360.7600000000007,2023-02-01 03:12:41.786896,2023-02-01 03:52:57.734517,0 days 00:40:15.947621,0.002735074569954391,0.8749962599139919,0.044424355008539175,26.5,0.4,21,527,COMPLETE
1,1,1725.1799999999998,2023-02-01 03:12:41.786896,2023-02-01 04:03:54.985725,0 days 00:51:13.198829,3.3290117112244617e-06,0.9728648915705372,0.0061880790700442325,6.0,0.45000000000000007,25,2369,COMPLETE
2,2,1698.3880000000001,2023-02-01 03:52:57.734517,2023-02-01 04:33:55.202753,0 days 00:40:57.468236,0.06729254507136605,0.9498050745756421,3.853484130205117e-06,20.0,0.35,19,145,COMPLETE
3,3,1037.77,2023-02-01 04:03:55.016985,2023-02-01 04:52:33.833882,0 days 00:48:38.816897,0.011535081662155592,0.912747334057208,0.015274263617809028,32.0,0.15000000000000002,17,2334,COMPLETE
4,4,492.096,2023-02-01 04:33:55.249632,2023-02-01 05:25:28.415160,0 days 00:51:33.165528,1.344175419604009e-05,0.883401543148019,0.0002329861830954696,7.5,0.15000000000000002,6,2306,COMPLETE
5,5,1326.074,2023-02-01 04:52:33.849513,2023-02-01 05:44:05.845203,0 days 00:51:31.995690,6.70491443261534e-08,0.9753059299927245,1.5672209981188804e-05,14.0,0.30000000000000004,12,596,COMPLETE
6,6,722.7439999999999,2023-02-01 05:25:28.430787,2023-02-01 06:35:15.606832,0 days 01:09:47.176045,1.1012684225512564e-08,0.8550827209015415,1.50770633354686e-07,11.5,0.15000000000000002,25,967,COMPLETE
7,7,1229.434,2023-02-01 05:44:05.857395,2023-02-01 06:51:33.641490,0 days 01:07:27.784095,1.0790427299791816e-05,0.9454565958923634,0.05288283171921693,8.0,0.2,17,1627,COMPLETE
8,8,1576.2,2023-02-01 06:35:15.638082,2023-02-01 07:31:31.400855,0 days 00:56:15.762773,0.00023784072228856588,0.8849976656922257,0.17689509639926795,10.5,0.35,14,110,COMPLETE
9,9,1858.9099999999999,2023-02-01 06:51:33.641490,2023-02-01 07:50:49.523002,0 days 00:59:15.881512,0.00017636388779112896,0.9609713129608461,0.006518563960170967,12.0,0.4,18,1009,COMPLETE
10,10,1965.3740000000003,2023-02-01 07:31:31.416482,2023-02-01 08:45:06.217754,0 days 01:13:34.801272,0.004063014246341661,0.9257941486310272,0.0006232944303157326,23.0,0.30000000000000004,12,2345,COMPLETE
11,11,1538.226,2023-02-01 07:50:49.523002,2023-02-01 09:01:48.545719,0 days 01:10:59.022717,0.0008544235133926087,0.8693788974677508,0.12261705169395397,29.5,0.4,22,828,COMPLETE
12,12,2070.622,2023-02-01 08:45:06.295878,2023-02-01 10:07:28.795615,0 days 01:22:22.499737,0.0015715212489949984,0.9316389719389014,1.3191340068499685e-05,18.5,0.4,17,2283,COMPLETE
13,13,2167.9659999999994,2023-02-01 09:01:48.655079,2023-02-01 10:08:44.628596,0 days 01:06:55.973517,0.07556996033625014,0.9151942556566227,0.001956402437625866,15.0,0.4,5,2305,COMPLETE
14,14,2299.1980000000003,2023-02-01 10:07:28.832704,2023-02-01 11:27:35.172948,0 days 01:20:06.340244,0.000515499927699837,0.9286093613474969,2.1654933398653727e-07,24.5,0.45000000000000007,19,1622,COMPLETE
15,15,1408.592,2023-02-01 10:08:44.628596,2023-02-01 10:56:21.994270,0 days 00:47:37.365674,0.07513830091255583,0.9598288290667935,0.00840077114739437,10.5,0.35,2,1703,COMPLETE
16,16,1662.784,2023-02-01 10:56:21.994270,2023-02-01 12:02:00.457864,0 days 01:05:38.463594,0.04710031921845763,0.9376865562548908,0.08955803802273596,32.0,0.5,5,2239,COMPLETE
17,17,1804.688,2023-02-01 11:27:35.321076,2023-02-01 12:22:38.348927,0 days 00:55:03.027851,0.0006352995835835621,0.8985700173603903,1.660674599488842e-07,25.0,0.35,10,1029,COMPLETE
18,18,2559.582,2023-02-01 12:02:00.586884,2023-02-01 13:05:18.536569,0 days 01:03:17.949685,1.7259433320970175e-05,0.896310526045917,2.1696659226246024e-07,24.0,0.5,24,1681,COMPLETE
19,19,1947.5520000000001,2023-02-01 12:22:38.380181,2023-02-01 13:30:54.356416,0 days 01:08:15.976235,0.00033688976691344317,0.9629755392740772,1.7661311979295519e-06,32.5,0.4,12,1654,COMPLETE
20,20,1610.1060000000002,2023-02-01 13:05:18.567824,2023-02-01 14:30:38.151031,0 days 01:25:19.583207,1.0792669286136335e-06,0.8653178548561395,6.83098801349001e-07,18.0,0.35,25,2333,COMPLETE
21,21,1606.556,2023-02-01 13:30:54.356416,2023-02-01 14:33:13.328251,0 days 01:02:18.971835,2.6723633296909434e-08,0.9153593376247203,2.285926382317942e-06,30.0,0.35,21,1816,COMPLETE
22,22,2465.854,2023-02-01 14:30:38.151031,2023-02-01 15:39:47.704636,0 days 01:09:09.553605,2.726157725147651e-05,0.8517134712902301,1.2633632053306108e-06,25.5,0.5,22,1495,COMPLETE
23,23,2789.0000000000005,2023-02-01 14:33:13.356604,2023-02-01 15:49:45.001131,0 days 01:16:31.644527,6.502045921912103e-05,0.9048623068363428,2.1671491527047882e-07,24.5,0.5,23,1649,COMPLETE
24,24,2207.7560000000003,2023-02-01 15:39:47.725714,2023-02-01 16:38:32.370755,0 days 00:58:44.645041,7.736074417834937e-06,0.8690985542746987,1.309861867201626e-06,14.5,0.5,25,891,COMPLETE
25,25,2391.9440000000004,2023-02-01 15:49:45.219904,2023-02-01 16:47:17.285331,0 days 00:57:32.065427,7.636608444340481e-06,0.8983768819621176,8.63437470872085e-05,28.5,0.4,24,229,COMPLETE
26,26,2340.2560000000003,2023-02-01 16:38:32.370755,2023-02-01 17:35:41.863338,0 days 00:57:09.492583,3.538565361565261e-07,0.9128366635160614,0.0003623950210475731,19.5,0.5,17,1729,COMPLETE
27,27,2343.25,2023-02-01 16:47:17.362375,2023-02-01 17:51:18.310631,0 days 01:04:00.948256,2.800504362314504e-05,0.9408641634576493,1.0694944071465444e-06,14.5,0.5,25,1819,COMPLETE
28,28,3265.0260000000003,2023-02-01 17:35:41.894590,2023-02-01 18:32:11.493317,0 days 00:56:29.598727,0.040491449410032465,0.896655205681851,0.007806501433423304,22.5,0.4,22,123,COMPLETE
29,29,3495.178,2023-02-01 17:51:18.373109,2023-02-01 18:52:17.387372,0 days 01:00:59.014263,0.03018283202552895,0.8517683739810843,0.0019064635295969645,17.5,0.45000000000000007,19,452,COMPLETE
