,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
0,0,3140.48,2023-01-25 04:35:42.885937,2023-01-25 04:50:38.587551,0 days 00:14:55.701614,0.024869366792278646,0.8646646415717455,7.486049119242915e-05,22.0,0.4,4,1188,COMPLETE
1,1,3090.2219999999998,2023-01-25 04:35:42.885937,2023-01-25 04:52:08.231151,0 days 00:16:25.345214,1.9645784538345025e-07,0.8702145396727536,8.402664914395038e-06,28.0,0.45000000000000007,12,1254,COMPLETE
2,2,2951.002,2023-01-25 04:50:38.603178,2023-01-25 05:04:17.925302,0 days 00:13:39.322124,2.7738128429833292e-08,0.9831666518108251,0.00016734463472034179,33.5,0.45000000000000007,5,143,COMPLETE
3,3,3051.22,2023-01-25 04:52:08.231151,2023-01-25 05:06:20.680456,0 days 00:14:12.449305,8.254063880946803e-05,0.9153889854916556,0.04847630375475857,34.0,0.1,6,179,COMPLETE
4,4,2874.19,2023-01-25 05:04:17.925302,2023-01-25 05:15:58.247292,0 days 00:11:40.321990,4.137878623287858e-07,0.934005822722127,1.6297474457917832e-06,39.5,0.35,4,1364,COMPLETE
5,5,3023.174,2023-01-25 05:06:20.680456,2023-01-25 05:34:42.250145,0 days 00:28:21.569689,0.09123506949292917,0.86442971279582,4.381917073943327e-06,22.5,0.4,22,322,COMPLETE
6,6,3013.898,2023-01-25 05:15:58.247292,2023-01-25 05:35:05.690283,0 days 00:19:07.442991,4.681419561968927e-06,0.9113115682872817,0.0006984858770342772,10.0,0.30000000000000004,7,562,COMPLETE
7,7,3023.016,2023-01-25 05:34:42.252002,2023-01-25 06:07:26.229060,0 days 00:32:43.977058,2.2205891955078033e-07,0.8688522239085036,2.5730842642224808e-05,35.5,0.1,10,1661,COMPLETE
8,8,3195.236,2023-01-25 05:35:05.768363,2023-01-25 05:59:09.099436,0 days 00:24:03.331073,3.915158063577582e-08,0.9157367828856358,2.7939590423767463e-07,13.5,0.5,1,2266,COMPLETE
9,9,3032.576,2023-01-25 05:59:09.113398,2023-01-25 06:25:56.032746,0 days 00:26:46.919348,0.09036897909372074,0.860502705051714,0.016063040179717214,18.0,0.1,1,2374,COMPLETE
10,10,3014.778,2023-01-25 06:07:26.260333,2023-01-25 06:38:13.036187,0 days 00:30:46.775854,0.000272723236580681,0.9310857658403547,5.830258822948305e-05,6.0,0.1,6,2276,COMPLETE
11,11,3131.23,2023-01-25 06:25:56.032746,2023-01-25 06:56:29.908960,0 days 00:30:33.876214,2.1625553641672775e-07,0.8990420019688529,6.303668159246353e-07,19.5,0.4,7,2271,COMPLETE
12,12,3291.79,2023-01-25 06:38:13.103671,2023-01-25 07:04:17.875980,0 days 00:26:04.772309,1.2935842040357907e-08,0.9045366167819173,2.1641746460692366e-06,5.5,0.45000000000000007,1,2294,COMPLETE
13,13,3081.958,2023-01-25 06:56:30.030525,2023-01-25 07:21:46.321181,0 days 00:25:16.290656,8.670321148121799e-08,0.9771135120562843,5.791600408524726e-07,11.5,0.4,3,1524,COMPLETE
14,14,3070.284,2023-01-25 07:04:17.969166,2023-01-25 07:28:58.010228,0 days 00:24:40.041062,2.8252762231633645e-08,0.8788963618402827,0.0016378661991883997,7.5,0.45000000000000007,4,1947,COMPLETE
15,15,3242.7259999999997,2023-01-25 07:21:46.399326,2023-01-25 07:49:51.041927,0 days 00:28:04.642601,1.364725065796305e-08,0.8738259481641011,5.824458713869447e-05,9.0,0.5,1,2413,COMPLETE
16,16,3173.518,2023-01-25 07:28:58.072733,2023-01-25 07:54:37.771742,0 days 00:25:39.699009,1.0903614610510156e-06,0.8707934183584054,1.8920936295908728e-07,6.0,0.5,9,1347,COMPLETE
17,17,3033.8120000000004,2023-01-25 07:49:51.115811,2023-01-25 08:16:16.881098,0 days 00:26:25.765287,1.1954339074122168e-05,0.8712154782440381,1.69685376557179e-05,5.5,0.5,12,1700,COMPLETE
18,18,3162.1119999999996,2023-01-25 07:54:37.895514,2023-01-25 08:15:44.286874,0 days 00:21:06.391360,8.994567366489301e-06,0.8692309403368877,3.4700386302985647e-06,11.0,0.30000000000000004,1,1534,COMPLETE
19,19,3170.89,2023-01-25 08:15:44.286874,2023-01-25 08:45:29.959217,0 days 00:29:45.672343,0.0004131487703762516,0.9206358036542293,2.4316414527376016e-05,10.5,0.45000000000000007,4,2384,COMPLETE
20,20,2953.0299999999997,2023-01-25 08:16:16.912294,2023-01-25 08:48:58.290676,0 days 00:32:41.378382,1.157892948895059e-06,0.8937159915308142,1.0914018557753429e-05,8.0,0.30000000000000004,5,2480,COMPLETE
21,21,3103.2940000000003,2023-01-25 08:45:30.006093,2023-01-25 09:15:21.677887,0 days 00:29:51.671794,1.502820014593127e-08,0.8545293236868389,2.1004217587307618e-06,5.0,0.4,2,2442,COMPLETE
22,22,3196.534,2023-01-25 08:48:58.306915,2023-01-25 09:16:26.508301,0 days 00:27:28.201386,1.2985912960635394e-08,0.8693266769175618,4.784896614619467e-07,7.5,0.45000000000000007,1,2314,COMPLETE
23,23,3195.428,2023-01-25 09:15:21.740380,2023-01-25 09:44:13.951418,0 days 00:28:52.211038,2.9161553024634236e-08,0.9077557494608964,1.4762060839213094e-06,10.0,0.5,2,2386,COMPLETE
24,24,3005.304,2023-01-25 09:16:26.539555,2023-01-25 09:41:30.227190,0 days 00:25:03.687635,3.3701396614998706e-08,0.8796091795629702,3.936263134699811e-05,20.0,0.5,1,2087,COMPLETE
25,25,3029.1079999999997,2023-01-25 09:41:30.258438,2023-01-25 10:01:16.331792,0 days 00:19:46.073354,3.927739306971238e-08,0.8802190520994162,1.0705954767899265e-06,5.5,0.5,1,1818,COMPLETE
26,26,3086.118,2023-01-25 09:44:13.987721,2023-01-25 10:10:40.912937,0 days 00:26:26.925216,1.0242061186663709e-08,0.883950870061767,5.199305019029279e-06,10.5,0.5,11,1905,COMPLETE
27,27,3068.4939999999997,2023-01-25 10:01:16.347445,2023-01-25 10:37:44.551264,0 days 00:36:28.203819,1.5774045086643533e-08,0.8940931597197205,2.0756590618540566e-07,6.0,0.4,13,2492,COMPLETE
28,28,3117.624,2023-01-25 10:10:40.912937,2023-01-25 10:37:12.041055,0 days 00:26:31.128118,2.556757236148941e-06,0.8526379235452259,2.5741503459567414e-07,17.5,0.5,2,2411,COMPLETE
29,29,3086.7599999999998,2023-01-25 10:37:12.081633,2023-01-25 11:00:11.925407,0 days 00:22:59.843774,3.4974897302939986e-05,0.8531834592402401,0.0009184305941081674,8.5,0.5,2,1866,COMPLETE
30,30,3215.2200000000003,2023-01-25 10:37:44.567494,2023-01-25 11:07:16.067547,0 days 00:29:31.500053,2.03963116094135e-05,0.8770914140573842,4.572895098004703e-05,5.5,0.5,2,2362,COMPLETE
31,31,3216.972,2023-01-25 11:00:11.972269,2023-01-25 11:29:52.996876,0 days 00:29:41.024607,1.285070803478492e-07,0.9229576924073093,0.00045066321299105965,9.0,0.4,3,2373,COMPLETE
