,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
0,0,6780.768000000001,2023-01-24 21:02:45.071066,2023-01-24 21:09:30.746126,0 days 00:06:45.675060,3.6904185178239954e-05,0.8538288461451804,0.024649778220213702,31.0,0.35,14,2457,COMPLETE
1,1,7127.716,2023-01-24 21:02:45.086691,2023-01-24 21:06:23.942384,0 days 00:03:38.855693,0.0002634506323277747,0.9205445321891548,0.006839587895221969,5.0,0.4,3,520,COMPLETE
2,2,6481.719999999999,2023-01-24 21:06:23.957998,2023-01-24 21:10:09.246560,0 days 00:03:45.288562,3.2317739913207265e-05,0.8553214147997219,0.00025696164007940966,8.0,0.35,12,473,COMPLETE
3,3,6448.068,2023-01-24 21:09:30.746126,2023-01-24 21:16:13.694410,0 days 00:06:42.948284,1.7632426777983542e-07,0.9701487668980124,4.1919696704510313e-07,20.0,0.4,23,912,COMPLETE
4,4,6888.668,2023-01-24 21:10:09.246560,2023-01-24 21:13:30.159690,0 days 00:03:20.913130,1.2349016309361391e-06,0.8606171582300678,2.4714767981326363e-07,6.5,0.5,5,688,COMPLETE
5,5,6377.76,2023-01-24 21:13:30.159690,2023-01-24 21:16:13.350657,0 days 00:02:43.190967,3.678789851836246e-06,0.9369307560697531,0.24357638923618324,30.0,0.45000000000000007,3,429,COMPLETE
6,6,6630.219999999999,2023-01-24 21:16:13.350657,2023-01-24 21:19:55.465938,0 days 00:03:42.115281,1.0488648620590238e-06,0.9581516219526197,8.935167228984572e-05,10.5,0.5,12,1274,COMPLETE
7,7,6410.2480000000005,2023-01-24 21:16:13.710035,2023-01-24 21:21:18.985590,0 days 00:05:05.275555,0.008521020868382374,0.9169753232264246,0.00092504109232938,38.5,0.25,18,1070,COMPLETE
8,8,6466.0,2023-01-24 21:19:55.465938,2023-01-24 21:23:35.988424,0 days 00:03:40.522486,2.4112136437544883e-08,0.9239631075266966,0.04872047010348224,27.0,0.25,3,1793,COMPLETE
9,9,6934.372,2023-01-24 21:21:19.016827,2023-01-24 21:25:46.123094,0 days 00:04:27.106267,3.9831628751522024e-05,0.9728686683842308,0.005696627029441629,13.5,0.35,3,1418,COMPLETE
10,10,6787.620000000001,2023-01-24 21:23:36.019671,2023-01-24 21:27:34.200156,0 days 00:03:58.180485,3.1462720741837316e-06,0.9103559501192373,2.0114784757487755e-06,7.5,0.25,2,335,COMPLETE
11,11,7219.816000000001,2023-01-24 21:25:46.154348,2023-01-24 21:29:45.415857,0 days 00:03:59.261509,4.204830554848386e-05,0.8682133293773187,0.04198086615473751,9.5,0.5,1,411,COMPLETE
12,12,6899.967999999999,2023-01-24 21:27:34.215787,2023-01-24 21:31:29.923970,0 days 00:03:55.708183,0.0006086286541249831,0.8845702754470143,0.013148814071199388,8.0,0.2,2,360,COMPLETE
13,13,6480.8279999999995,2023-01-24 21:29:45.447107,2023-01-24 21:34:08.494559,0 days 00:04:23.047452,0.00018876543963265838,0.9105438412985172,0.09078844109619587,5.5,0.5,4,260,COMPLETE
14,14,6496.108,2023-01-24 21:31:29.923970,2023-01-24 21:35:25.483396,0 days 00:03:55.559426,0.00024562271345834636,0.8822674097292009,0.07744825669911543,16.0,0.5,3,356,COMPLETE
15,15,7013.748,2023-01-24 21:34:08.510181,2023-01-24 21:38:27.630919,0 days 00:04:19.120738,0.0005065666236063246,0.8902940649450349,7.326622621017387e-05,18.5,0.5,4,726,COMPLETE
16,16,6431.571999999999,2023-01-24 21:35:25.483396,2023-01-24 21:39:05.100107,0 days 00:03:39.616711,1.6353961467338805e-08,0.9068511017818841,0.01964752276651924,5.0,0.4,1,466,COMPLETE
17,17,6275.183999999999,2023-01-24 21:38:27.646547,2023-01-24 21:41:36.262497,0 days 00:03:08.615950,0.0615142525486993,0.9140951748431418,0.030683558389675188,6.0,0.35,1,959,PRUNED
18,18,6623.56,2023-01-24 21:39:05.115732,2023-01-24 21:45:17.336136,0 days 00:06:12.220404,0.014593698850783668,0.9291833312108457,0.39003896495649154,7.0,0.35,15,769,COMPLETE
19,19,5857.16,2023-01-24 21:41:36.262497,2023-01-24 21:45:01.314330,0 days 00:03:25.051833,0.002533984920835037,0.9046023029415596,0.24076894193426346,16.0,0.45000000000000007,5,2137,PRUNED
20,20,6728.44,2023-01-24 21:45:01.314330,2023-01-24 21:49:26.341903,0 days 00:04:25.027573,5.037448558205464e-05,0.8998532762108464,0.17433239290414038,14.0,0.4,13,898,COMPLETE
21,21,6714.8,2023-01-24 21:45:17.351760,2023-01-24 21:49:09.606228,0 days 00:03:52.254468,0.000372978658805568,0.8791237388518136,0.04575270832815012,9.5,0.5,11,1287,COMPLETE
22,22,6443.1320000000005,2023-01-24 21:49:09.621859,2023-01-24 21:53:14.799277,0 days 00:04:05.177418,0.0006431247431429642,0.8664358157954472,3.77843541003701e-07,25.5,0.5,7,851,COMPLETE
23,23,6633.972,2023-01-24 21:49:26.341903,2023-01-24 21:53:43.644367,0 days 00:04:17.302464,0.003782262749174659,0.8700296048049112,9.444077813873118e-07,27.0,0.4,5,822,COMPLETE
24,24,6885.74,2023-01-24 21:53:14.846151,2023-01-24 21:57:19.298848,0 days 00:04:04.452697,0.0002082884191894779,0.8704780765407383,2.6336844992230436e-05,15.5,0.4,1,766,COMPLETE
